context,n_5m,detector,atr_mult,buffer,r_target,min_stop_atr,trades,expectancy_r,profit_factor,win_rate_pct,max_drawdown_pct,net_return_pct,fees_paid,exposure_pct,sharpe_annualized,avg_cost_r,avg_stop_pct,trades_per_day,capped_share_pct,skipped_min_stop,ignored_in_position,pct_time_neutral_context,context_state_changes_per_week
1h_n8,2,atr,3,0,2,0,5361,-1.8007,0.3330,24.3611,-99.9990,-99.9990,7538.3665,4.5802,-13.111,1.7771,0.3068,2.7310,84.0701,0,441,40.4846,4.8176
1h_n8,2,atr,3,0,2,0.3,4400,-1.1761,0.3763,28.3864,-99.9902,-99.9902,7842.5306,4.5573,-11.173,1.1769,0.3550,2.2415,80.7500,962,441,40.4846,4.8176
1h_n8,2,atr,3,0,2,0.5,3357,-0.9782,0.4073,30.0268,-99.9085,-99.9079,7971.1726,4.4176,-9.24,0.9657,0.4130,1.7101,75.3947,2005,441,40.4846,4.8176
1h_n8,2,atr,3,0,3,0,5253,-1.7313,0.3762,21.7019,-99.9976,-99.9976,7435.1469,6.8058,-10.866,1.7703,0.3082,2.6760,83.9330,0,810,40.4846,4.8176
1h_n8,2,atr,3,0,3,0.3,4310,-1.1164,0.4230,24.2227,-99.9798,-99.9797,7749.7022,6.7644,-9.099,1.1708,0.3568,2.1956,80.5800,944,810,40.4846,4.8176
1h_n8,2,atr,3,0,3,0.5,3287,-0.9298,0.4564,24.6425,-99.8382,-99.8370,7961.6833,6.5178,-7.418,0.9587,0.4153,1.6745,75.1749,1967,810,40.4846,4.8176
1h_n8,2,atr,3,0.1,1.5,0,6260,-2.2117,0.2614,23.3387,-99.9999,-99.9999,6908.8348,3.5906,-15.291,2.1464,0.2876,3.1890,85.4952,0,355,40.4846,4.8176
1h_n8,2,atr,3,0.1,1.5,0.3,4822,-1.2219,0.3107,29.4276,-99.9971,-99.9970,7321.2327,3.5736,-12.706,1.2033,0.3485,2.4564,81.4185,1441,354,40.4846,4.8176
1h_n8,2,atr,3,0.1,1.5,0.5,3587,-1.0097,0.3359,33.2311,-99.9557,-99.9555,7361.2447,3.4774,-10.397,0.9822,0.4095,1.8273,75.7457,2676,354,40.4846,4.8176
1h_n8,2,atr,3,0.1,2,0,6221,-2.1859,0.3231,23.0027,-99.9999,-99.9999,7351.3239,4.7775,-14.275,2.1491,0.2877,3.1691,85.4525,0,547,40.4846,4.8176
1h_n8,2,atr,3,0.1,2,0.3,4794,-1.2009,0.3791,28.2436,-99.9960,-99.9959,7824.0240,4.7473,-11.743,1.2031,0.3486,2.4422,81.3725,1430,546,40.4846,4.8176
1h_n8,2,atr,3,0.1,2,0.5,3566,-0.9957,0.4091,29.9495,-99.9443,-99.9438,7953.1492,4.5885,-9.543,0.9827,0.4095,1.8166,75.6870,2658,546,40.4846,4.8176
1h_n8,2,atr,3,0.1,3,0,6091,-2.1126,0.3658,20.6206,-99.9997,-99.9997,7295.6463,7.1667,-11.91,2.1396,0.2892,3.1029,85.3390,0,1016,40.4846,4.8176
1h_n8,2,atr,3,0.1,3,0.3,4691,-1.1424,0.4264,24.0460,-99.9914,-99.9913,7767.5699,7.1136,-9.577,1.1957,0.3505,2.3897,81.2194,1403,1015,40.4846,4.8176
