context,n_5m,detector,atr_mult,buffer,r_target,min_stop_atr,trades,expectancy_r,profit_factor,win_rate_pct,max_drawdown_pct,net_return_pct,fees_paid,exposure_pct,sharpe_annualized,avg_cost_r,avg_stop_pct,trades_per_day,capped_share_pct,skipped_min_stop,ignored_in_position,pct_time_neutral_context,context_state_changes_per_week
1h_n8,2,atr,2,0.1,1.5,0.5,5151,-1.2580,0.3259,28.4217,-99.9987,-99.9987,8014.4384,4.8417,-13.481,1.2402,0.3165,2.6240,84.6243,4037,987,39.1961,6.2725
1h_n8,2,atr,2,0.1,2,0,9056,-2.6853,0.3189,19.4015,-100.0000,-100.0000,8006.5869,6.5300,-17.923,2.6752,0.2215,4.6133,90.9342,0,1415,39.1961,6.2725
1h_n8,2,atr,2,0.1,2,0.3,6897,-1.5728,0.3674,24.3004,-100.0000,-100.0000,8267.2472,6.4729,-14.962,1.5731,0.2699,3.5135,88.2558,2161,1412,39.1961,6.2725
1h_n8,2,atr,2,0.1,2,0.5,5081,-1.2440,0.3905,27.2781,-99.9985,-99.9985,8378.5023,6.2108,-12.418,1.2376,0.3178,2.5884,84.5503,3979,1411,39.1961,6.2725
1h_n8,2,atr,2,0.1,3,0,8814,-2.6377,0.3909,18.2664,-100.0000,-100.0000,8575.6899,9.1144,-16.005,2.6678,0.2229,4.4901,90.7987,0,2214,39.1961,6.2725
1h_n8,2,atr,2,0.1,3,0.3,6716,-1.5517,0.4413,21.6349,-99.9999,-99.9999,8822.6710,9.0101,-13.291,1.5695,0.2715,3.4213,88.0881,2100,2209,39.1961,6.2725
1h_n8,2,atr,2,0.1,3,0.5,4951,-1.2267,0.4424,22.7227,-99.9979,-99.9979,8444.2125,8.5462,-11.034,1.2342,0.3196,2.5222,84.3466,3868,2204,39.1961,6.2725
1h_n8,2,atr,3,0,1.5,0,5365,-2.0786,0.3333,22.7586,-99.9991,-99.9991,9408.3659,4.1559,-14.392,2.0579,0.2629,2.7331,88.0149,0,378,40.5700,4.5680
1h_n8,2,atr,3,0,1.5,0.3,4553,-1.4836,0.3580,26.2684,-99.9945,-99.9944,9585.5678,4.1366,-12.947,1.4778,0.2968,2.3194,85.9653,813,376,40.5700,4.5680
1h_n8,2,atr,3,0,1.5,0.5,3625,-1.2081,0.3966,29.8759,-99.9551,-99.9549,10120.6029,4.0582,-11.218,1.2023,0.3369,1.8467,82.7862,1744,376,40.5700,4.5680
1h_n8,2,atr,3,0,2,0,5310,-2.0498,0.4035,22.6177,-99.9988,-99.9988,10011.0616,5.4755,-13.1,2.0586,0.2633,2.7050,88.0038,0,583,40.5700,4.5680
1h_n8,2,atr,3,0,2,0.3,4506,-1.4602,0.4329,25.7878,-99.9928,-99.9928,10262.3235,5.4459,-11.66,1.4755,0.2972,2.2955,85.9521,805,581,40.5700,4.5680
1h_n8,2,atr,3,0,2,0.5,3587,-1.1954,0.4713,28.0457,-99.9492,-99.9488,10759.2723,5.3212,-10.09,1.1986,0.3376,1.8273,82.7432,1727,581,40.5700,4.5680
1h_n8,2,atr,3,0,3,0,5210,-2.0116,0.4781,20.5374,-99.9982,-99.9982,10816.1662,7.7588,-11.433,2.0584,0.2642,2.6541,87.9463,0,941,40.5700,4.5680
1h_n8,2,atr,3,0,3,0.3,4422,-1.4400,0.5098,22.6142,-99.9902,-99.9901,11141.8205,7.6999,-10.154,1.4750,0.2982,2.2527,85.8887,789,939,40.5700,4.5680
1h_n8,2,atr,3,0,3,0.5,3518,-1.1793,0.5437,23.3655,-99.9373,-99.9367,11520.8263,7.4637,-8.747,1.1971,0.3390,1.7922,82.6606,1696,939,40.5700,4.5680
1h_n8,2,atr,3,0.1,1.5,0,6308,-2.4961,0.3214,21.1319,-99.9999,-99.9999,9303.4818,4.3477,-15.668,2.4683,0.2439,3.2134,89.2359,0,459,40.5700,4.5680
1h_n8,2,atr,3,0.1,1.5,0.3,4997,-1.5160,0.3609,25.9556,-99.9979,-99.9979,9622.2519,4.3232,-13.551,1.5080,0.2897,2.5456,86.5519,1313,457,40.5700,4.5680
1h_n8,2,atr,3,0.1,1.5,0.5,3851,-1.2022,0.3954,30.0701,-99.9726,-99.9724,10021.1294,4.2273,-11.52,1.1957,0.3342,1.9618,83.0953,2462,457,40.5700,4.5680
1h_n8,2,atr,3,0.1,2,0,6240,-2.4676,0.3893,21.1218,-99.9999,-99.9998,9842.8125,5.7896,-14.398,2.4683,0.2443,3.1788,89.2147,0,712,40.5700,4.5680
1h_n8,2,atr,3,0.1,2,0.3,4944,-1.4963,0.4389,25.5461,-99.9972,-99.9972,10353.4204,5.7493,-12.283,1.5051,0.2903,2.5186,86.5291,1298,710,40.5700,4.5680
1h_n8,2,atr,3,0.1,2,0.5,3808,-1.1902,0.4727,28.2563,-99.9683,-99.9681,10722.2212,5.5942,-10.365,1.1916,0.3351,1.9399,83.0357,2437,710,40.5700,4.5680
1h_n8,2,atr,3,0.1,3,0,6110,-2.4293,0.4664,19.1980,-99.9997,-99.9997,10688.5941,8.3165,-12.515,2.4713,0.2452,3.1126,89.1489,0,1199,40.5700,4.5680
1h_n8,2,atr,3,0.1,3,0.3,4843,-1.4783,0.5172,22.3209,-99.9961,-99.9961,11250.4513,8.2411,-10.644,1.5056,0.2913,2.4671,86.4547,1269,1197,40.5700,4.5680
1h_n8,2,atr,3,0.1,3,0.5,3726,-1.1747,0.5414,23.3763,-99.9604,-99.9600,11321.7076,7.9486,-8.939,1.1898,0.3366,1.8981,82.9308,2389,1197,40.5700,4.5680
1h_n8,3,fractal,-,0,1.5,0,7158,-2.3289,0.2613,19.1115,-100.0000,-100.0000,7656.5806,4.1419,-18.442,2.2713,0.2353,3.6465,90.2487,0,742,38.3090,6.5792
1h_n8,3,fractal,-,0,1.5,0.3,5879,-1.6402,0.2853,22.7250,-99.9998,-99.9998,7727.2422,4.1235,-16.272,1.5962,0.2716,2.9949,88.1953,1281,741,38.3090,6.5792
1h_n8,3,fractal,-,0,1.5,0.5,4384,-1.3076,0.3126,26.8932,-99.9946,-99.9946,8023.3606,3.9717,-13.411,1.2718,0.3193,2.2333,84.4434,2780,736,38.3090,6.5792
1h_n8,3,fractal,-,0,2,0,7074,-2.2927,0.3324,20.0170,-100.0000,-100.0000,8258.0612,5.2830,-17.082,2.2668,0.2360,3.6037,90.2036,0,1014,38.3090,6.5792
1h_n8,3,fractal,-,0,2,0.3,5817,-1.6155,0.3577,23.5001,-99.9998,-99.9998,8338.6069,5.2484,-14.955,1.5957,0.2723,2.9633,88.1554,1259,1013,38.3090,6.5792
1h_n8,3,fractal,-,0,2,0.5,4336,-1.2834,0.3868,26.3838,-99.9929,-99.9929,8711.8774,5.0239,-12.209,1.2707,0.3203,2.2089,84.3635,2744,1005,38.3090,6.5792
1h_n8,3,fractal,-,0,3,0,6939,-2.2528,0.3921,18.4609,-100.0000,-100.0000,8538.9584,7.2809,-15.366,2.2542,0.2373,3.5349,90.1283,0,1492,38.3090,6.5792
1h_n8,3,fractal,-,0,3,0.3,5710,-1.5941,0.4157,20.7180,-99.9997,-99.9997,8527.1079,7.2167,-13.432,1.5876,0.2737,2.9088,88.0736,1232,1490,38.3090,6.5792
1h_n8,3,fractal,-,0,3,0.5,4254,-1.2589,0.4390,22.1204,-99.9911,-99.9911,8764.1725,6.8459,-10.947,1.2587,0.3222,2.1671,84.2501,2693,1462,38.3090,6.5792
1h_n8,3,fractal,-,0.1,1.5,0,8563,-2.8619,0.2499,17.5523,-100.0000,-100.0000,7674.6884,4.3889,-20.279,2.8025,0.2156,4.3622,91.3815,0,958,38.3090,6.5792
1h_n8,3,fractal,-,0.1,1.5,0.3,6438,-1.6710,0.2899,22.5536,-100.0000,-100.0000,7810.4288,4.3605,-16.976,1.6297,0.2657,3.2797,88.6611,2127,955,38.3090,6.5792
