context,n_15m,detector,atr_mult,buffer,r_target,k_stop,trades,expectancy_r,profit_factor,win_rate_pct,max_drawdown_pct,net_return_pct,fees_paid,exposure_pct,sharpe_annualized,avg_cost_r,avg_stop_pct,trades_per_day,capped_share_pct,share_stop_dominated_pct,ignored_in_position,pct_time_neutral_context,context_state_changes_per_week
4h_n5,3,atr,2,0,2,3,1361,-0.1140,0.8143,32.6965,-57.1477,-54.7629,6668.3325,22.6337,-1.55,0.1379,2.0943,0.6933,0.4409,98.6774,1643,40.4223,2.0897
4h_n5,3,atr,2,0,2,4,1226,-0.0798,0.8448,34.0131,-44.4577,-39.5820,5104.5721,28.1267,-1.127,0.1031,2.8025,0.6246,0.1631,99.7553,2016,40.4223,2.0897
4h_n5,3,atr,2,0,3,3,1288,-0.1114,0.8229,30.1242,-56.3086,-52.3592,6386.0357,25.5215,-1.287,0.1374,2.0849,0.6561,0.3106,98.6025,1845,40.4223,2.0897
4h_n5,3,atr,2,0,3,4,1166,-0.1128,0.7910,31.6467,-51.6185,-49.1527,4448.8842,30.4907,-1.41,0.1026,2.8063,0.5940,0.0858,99.7427,2166,40.4223,2.0897
4h_n5,3,atr,2,0.1,1.5,3,1577,-0.1253,0.7931,34.8129,-66.2834,-63.4146,7084.5115,22.5384,-2.042,0.1359,2.1411,0.8034,0.3805,98.7952,1948,40.4223,2.0897
4h_n5,3,atr,2,0.1,1.5,4,1405,-0.0995,0.7998,34.9466,-52.0979,-50.9711,5137.8060,28.4599,-1.662,0.1023,2.8454,0.7157,0.1423,99.7865,2424,40.4223,2.0897
4h_n5,3,atr,2,0.1,2,3,1499,-0.1200,0.8073,32.0881,-63.3736,-60.2223,6896.7153,25.2117,-1.718,0.1362,2.1358,0.7636,0.4003,98.7325,2163,40.4223,2.0897
4h_n5,3,atr,2,0.1,2,4,1335,-0.0897,0.8270,33.2584,-50.4109,-45.9337,5181.3879,30.9006,-1.315,0.1024,2.8529,0.6801,0.1498,99.7753,2614,40.4223,2.0897
4h_n5,3,atr,2,0.1,3,3,1397,-0.1231,0.8051,29.5634,-62.4255,-58.8356,6363.7548,28.2987,-1.483,0.1363,2.1231,0.7117,0.3579,98.6399,2419,40.4223,2.0897
4h_n5,3,atr,2,0.1,3,4,1257,-0.1177,0.7835,31.1854,-55.7215,-53.2352,4562.5715,33.4717,-1.512,0.1021,2.8473,0.6403,0.0796,99.7613,2815,40.4223,2.0897
1d_n3,2,fractal,-,0,1.5,3,2014,-0.1259,0.7431,36.3456,-73.2392,-72.5530,6781.0636,26.3291,-2.345,0.1344,2.1244,1.0260,0.1986,99.0566,3297,35.9794,0.5670
1d_n3,2,fractal,-,0,1.5,4,1777,-0.0864,0.7883,37.1412,-54.9550,-54.4018,5497.6098,30.6813,-1.684,0.1002,2.8574,0.9052,0.0000,99.9437,3788,35.9794,0.5670
1d_n3,2,fractal,-,0,2,3,1909,-0.1135,0.7731,34.4159,-67.6681,-67.1117,6785.7630,28.4669,-1.866,0.1337,2.1340,0.9725,0.2095,99.0047,3535,35.9794,0.5670
