context,n_15m,detector,atr_mult,buffer,r_target,k_stop,trades,expectancy_r,profit_factor,win_rate_pct,max_drawdown_pct,net_return_pct,fees_paid,exposure_pct,sharpe_annualized,avg_cost_r,avg_stop_pct,trades_per_day,capped_share_pct,share_stop_dominated_pct,ignored_in_position,pct_time_neutral_context,context_state_changes_per_week
4h_n5,3,atr,2,0.1,1.5,3,1555,-0.1622,0.7376,34.5338,-72.8489,-71.7867,7803.3735,25.2772,-2.518,0.1756,1.7165,0.7922,2.7653,98.5852,2236,38.6338,2.0790
4h_n5,3,atr,2,0.1,1.5,4,1357,-0.1252,0.7412,33.7509,-58.8302,-57.9074,5654.9456,30.9794,-1.987,0.1315,2.3004,0.6913,0.5158,99.5578,2732,38.6338,2.0790
4h_n5,3,atr,2,0.1,2,3,1479,-0.1782,0.7273,30.6288,-74.3185,-73.4109,7263.7657,27.6918,-2.403,0.1764,1.7132,0.7534,2.7721,98.5801,2432,38.6338,2.0790
4h_n5,3,atr,2,0.1,2,4,1297,-0.1248,0.7510,31.9969,-57.7843,-56.1482,5463.9492,33.2721,-1.75,0.1313,2.3114,0.6607,0.4626,99.5374,2922,38.6338,2.0790
4h_n5,3,atr,2,0.1,3,3,1389,-0.1741,0.7402,28.5817,-72.0843,-70.6349,7007.0175,30.6542,-1.992,0.1763,1.7242,0.7076,2.5918,98.5601,2698,38.6338,2.0790
4h_n5,3,atr,2,0.1,3,4,1225,-0.1090,0.7930,30.8571,-52.4369,-49.6922,5707.4297,35.7277,-1.335,0.1326,2.3108,0.6240,0.4898,99.5102,3136,38.6338,2.0790
1d_n3,2,fractal,-,0,1.5,3,2201,-0.1273,0.7667,36.3925,-75.8934,-74.8498,10042.0446,31.3403,-2.396,0.1780,1.7214,1.1212,3.1804,98.8642,3882,31.2403,0.5741
1d_n3,2,fractal,-,0,1.5,4,1917,-0.0780,0.8080,37.6630,-53.9629,-53.1874,7966.2391,36.3654,-1.559,0.1334,2.3091,0.9766,0.9911,99.5827,4441,31.2403,0.5741
1d_n3,2,fractal,-,0,2,3,2076,-0.1210,0.7844,34.4412,-72.5803,-71.1725,9918.6665,33.7416,-2.017,0.1784,1.7270,1.0576,3.3237,98.8921,4151,31.2403,0.5741
1d_n3,2,fractal,-,0,2,4,1815,-0.0830,0.8057,36.4738,-54.4603,-53.4737,7660.7322,38.5634,-1.482,0.1334,2.3241,0.9246,1.0468,99.5592,4685,31.2403,0.5741
1d_n3,2,fractal,-,0,3,3,1947,-0.1117,0.8106,32.8711,-67.0435,-65.8850,10137.5331,36.3186,-1.575,0.1790,1.7344,0.9918,3.4926,98.8701,4452,31.2403,0.5741
1d_n3,2,fractal,-,0,3,4,1740,-0.0712,0.8378,35.5172,-48.4305,-46.7773,7859.3081,40.0241,-1.116,0.1346,2.3169,0.8864,1.0920,99.5402,4874,31.2403,0.5741
1d_n3,2,fractal,-,0.1,1.5,3,2329,-0.1319,0.7593,36.4964,-78.8163,-78.1369,9766.6229,34.6274,-2.504,0.1756,1.7563,1.1864,3.0056,98.9695,5149,31.2403,0.5741
1d_n3,2,fractal,-,0.1,1.5,4,1989,-0.0719,0.8266,38.4113,-53.2983,-51.6795,8252.9061,39.9240,-1.424,0.1309,2.3646,1.0132,0.9050,99.5978,5847,31.2403,0.5741
1d_n3,2,fractal,-,0.1,2,3,2178,-0.1193,0.7870,34.6189,-73.4224,-72.4646,9803.2276,37.1517,-1.973,0.1753,1.7659,1.1095,3.1221,98.9899,5482,31.2403,0.5741
1d_n3,2,fractal,-,0.1,2,4,1865,-0.0792,0.8191,36.7828,-54.6893,-52.8338,7793.2229,42.2901,-1.386,0.1309,2.3855,0.9501,0.9651,99.5710,6168,31.2403,0.5741
1d_n3,2,fractal,-,0.1,3,3,2013,-0.1152,0.8046,32.5882,-68.6914,-68.2425,9737.7306,40.0981,-1.603,0.1752,1.7822,1.0255,3.2290,98.9568,5894,31.2403,0.5741
1d_n3,2,fractal,-,0.1,3,4,1768,-0.0698,0.8490,35.6335,-49.5667,-46.5840,8011.7720,43.9606,-1.056,0.1319,2.3814,0.9007,0.9615,99.5475,6410,31.2403,0.5741
1d_n3,2,atr,2,0,1.5,3,1802,-0.1424,0.7461,34.9612,-72.7996,-71.8664,8019.8194,26.2785,-2.351,0.1685,1.7962,0.9180,2.3862,98.7791,2459,32.6625,0.3994
1d_n3,2,atr,2,0,1.5,4,1581,-0.1071,0.7668,35.2309,-59.4026,-57.5408,6217.7208,30.9778,-1.859,0.1264,2.4084,0.8054,0.5060,99.5572,2881,32.6625,0.3994
1d_n3,2,atr,2,0,2,3,1698,-0.1402,0.7602,32.2733,-72.0207,-69.3430,7865.7607,28.7479,-2.019,0.1689,1.7993,0.8650,2.4735,98.7044,2675,32.6625,0.3994
1d_n3,2,atr,2,0,2,4,1500,-0.1186,0.7566,33.2000,-61.1133,-59.2799,5869.4696,32.9586,-1.85,0.1262,2.4147,0.7641,0.5333,99.5333,3053,32.6625,0.3994
1d_n3,2,atr,2,0,3,3,1600,-0.1574,0.7492,29.9375,-74.0970,-71.3677,7360.9501,31.3403,-1.966,0.1687,1.8033,0.8151,2.3750,98.6875,2895,32.6625,0.3994
1d_n3,2,atr,2,0,3,4,1425,-0.1139,0.7680,32.1404,-59.2615,-56.1206,5653.2779,35.1102,-1.55,0.1267,2.4245,0.7259,0.5614,99.5088,3254,32.6625,0.3994
1d_n3,2,atr,2,0.1,1.5,3,1934,-0.1412,0.7537,35.2120,-75.5826,-74.1845,8455.0017,29.0237,-2.42,0.1678,1.8049,0.9852,2.3268,98.9142,3199,32.6625,0.3994
1d_n3,2,atr,2,0.1,1.5,4,1657,-0.0952,0.7923,35.7876,-57.1247,-55.1474,6708.9822,34.0717,-1.682,0.1256,2.4280,0.8441,0.3621,99.6379,3748,32.6625,0.3994
1d_n3,2,atr,2,0.1,2,3,1806,-0.1388,0.7662,32.2813,-73.5831,-71.3176,8208.1029,31.7486,-2.048,0.1679,1.8116,0.9200,2.3810,98.8372,3481,32.6625,0.3994
1d_n3,2,atr,2,0.1,2,4,1562,-0.1036,0.7876,33.6108,-59.0587,-56.0173,6337.7185,36.1073,-1.633,0.1252,2.4382,0.7957,0.3841,99.6159,3960,32.6625,0.3994
1d_n3,2,atr,2,0.1,3,3,1679,-0.1495,0.7709,30.1370,-75.0094,-71.3513,7971.4837,34.4762,-1.887,0.1676,1.8210,0.8553,2.3228,98.8088,3770,32.6625,0.3994
