context,n_15m,detector,atr_mult,buffer,r_target,k_stop,trades,expectancy_r,profit_factor,win_rate_pct,max_drawdown_pct,net_return_pct,fees_paid,exposure_pct,sharpe_annualized,avg_cost_r,avg_stop_pct,trades_per_day,capped_share_pct,share_stop_dominated_pct,ignored_in_position,pct_time_neutral_context,context_state_changes_per_week,no_profile_trades,no_profile_share_pct,no_profile_exp_r,no_profile_gross_r,no_profile_pf_r,no_profile_win_pct,no_profile_cost_r,no_profile_stop_pct,no_profile_dom_pct,hors_plage_trades,hors_plage_share_pct,hors_plage_exp_r,hors_plage_gross_r,hors_plage_pf_r,hors_plage_win_pct,hors_plage_cost_r,hors_plage_stop_pct,hors_plage_dom_pct,poc_zone_trades,poc_zone_share_pct,poc_zone_exp_r,poc_zone_gross_r,poc_zone_pf_r,poc_zone_win_pct,poc_zone_cost_r,poc_zone_stop_pct,poc_zone_dom_pct,sous_val_trades,sous_val_share_pct,sous_val_exp_r,sous_val_gross_r,sous_val_pf_r,sous_val_win_pct,sous_val_cost_r,sous_val_stop_pct,sous_val_dom_pct,sur_vah_trades,sur_vah_share_pct,sur_vah_exp_r,sur_vah_gross_r,sur_vah_pf_r,sur_vah_win_pct,sur_vah_cost_r,sur_vah_stop_pct,sur_vah_dom_pct,dans_valeur_trades,dans_valeur_share_pct,dans_valeur_exp_r,dans_valeur_gross_r,dans_valeur_pf_r,dans_valeur_win_pct,dans_valeur_cost_r,dans_valeur_stop_pct,dans_valeur_dom_pct,primary_trades,primary_exp_r,primary_gross_r,primary_pf_r,primary_win_pct,evaluable,primary_ignored,primary_swallowed_share_pct
4h_n5,2,atr,2,0.1,2,3,1686,-0.1616,0.7364,32.1471,-74.7800,-74.5302,7977.2906,30.0260,-2.38,0.1748,1.7423,0.8589,2.7284,98.9324,3302,38.6338,2.0790,0,0.0000,,,,,,,,529,31.3760,-0.0803,0.0680,0.8469,35.9168,0.1483,1.9660,98.2987,75,4.4484,-0.2330,-0.0388,0.5700,28.0000,0.1942,1.5088,98.6667,282,16.7260,-0.2282,-0.0585,0.6237,29.4326,0.1697,1.7628,99.2908,237,14.0569,-0.2050,-0.0130,0.6502,29.9578,0.1920,1.5885,98.7342,563,33.3926,-0.1767,0.0157,0.6854,31.4387,0.1924,1.6177,99.4671,324,-0.2702,-0.0839,0.5837,29.3210,1,323,49.9227
4h_n5,2,atr,2,0.1,2,4,1493,-0.1046,0.7805,33.3557,-55.5006,-54.8297,6490.7559,35.3530,-1.641,0.1311,2.3365,0.7606,0.5358,99.6651,3880,38.6338,2.0790,0,0.0000,,,,,,,,474,31.7482,-0.0538,0.0577,0.8746,35.8650,0.1115,2.6373,99.7890,63,4.2197,-0.0858,0.0674,0.7841,30.1587,0.1532,1.9020,98.4127,251,16.8118,-0.2102,-0.0842,0.5950,28.6853,0.1260,2.3820,99.6016,206,13.7977,-0.0989,0.0458,0.7878,33.0097,0.1448,2.1234,99.5146,499,33.4226,-0.1045,0.0394,0.7696,33.8677,0.1439,2.1706,99.7996,282,-0.1992,-0.0596,0.6313,30.1418,1,365,56.4142
4h_n5,2,atr,2,0.1,3,3,1597,-0.1512,0.7612,30.3694,-71.6553,-70.6121,7992.6948,33.0661,-1.896,0.1749,1.7462,0.8136,2.6925,98.9355,3609,38.6338,2.0790,0,0.0000,,,,,,,,504,31.5592,-0.0661,0.0827,0.8808,33.7302,0.1487,1.9725,98.2143,67,4.1954,-0.2377,-0.0367,0.5831,25.3731,0.2010,1.4488,98.5075,275,17.2198,-0.2546,-0.0852,0.5990,25.8182,0.1694,1.7639,99.2727,223,13.9637,-0.1822,0.0110,0.7018,28.6996,0.1931,1.5906,98.6547,528,33.0620,-0.1546,0.0371,0.7324,30.8712,0.1917,1.6244,99.6212,322,-0.2166,-0.0300,0.6734,28.2609,1,325,50.2318
4h_n5,2,atr,2,0.1,3,4,1421,-0.0969,0.7987,32.3716,-51.4703,-50.6591,6378.4996,37.6105,-1.348,0.1321,2.3379,0.7239,0.5630,99.6481,4123,38.6338,2.0790,0,0.0000,,,,,,,,436,30.6826,-0.0328,0.0784,0.9252,36.2385,0.1113,2.6666,99.7706,60,4.2224,-0.1204,0.0317,0.7190,26.6667,0.1521,1.9217,98.3333,240,16.8895,-0.2096,-0.0830,0.6075,27.0833,0.1267,2.3889,99.5833,203,14.2857,-0.1392,0.0051,0.7192,30.5419,0.1443,2.1541,99.5074,482,33.9198,-0.0780,0.0681,0.8301,32.9876,0.1461,2.1446,99.7925,280,-0.2096,-0.0698,0.6235,28.5714,1,367,56.7233
4h_n5,3,fractal,-,0,1.5,3,1643,-0.2092,0.6754,33.6579,-82.1116,-82.0655,7164.7642,25.0983,-3.383,0.1787,1.6857,0.8370,2.6172,98.6610,2309,38.4030,2.4962,0,0.0000,,,,,,,,511,31.1016,-0.1761,-0.0221,0.6698,34.0509,0.1540,1.8987,98.8258,81,4.9300,-0.1525,0.0326,0.7119,37.0370,0.1850,1.5528,98.7654,265,16.1290,-0.2234,-0.0532,0.6203,34.3396,0.1702,1.7100,98.4906,245,14.9117,-0.2099,-0.0255,0.6415,33.8776,0.1844,1.6529,97.1429,541,32.9276,-0.2416,-0.0389,0.5875,32.3475,0.2026,1.5074,99.2606,335,-0.1875,-0.0035,0.6785,36.4179,1,250,42.7350
4h_n5,3,fractal,-,0,1.5,4,1479,-0.1710,0.6511,33.7390,-72.2483,-72.1036,5180.7948,30.3310,-2.897,0.1352,2.2454,0.7534,0.6085,99.4591,2714,38.4030,2.4962,0,0.0000,,,,,,,,463,31.3049,-0.1158,-0.0008,0.7302,34.9892,0.1150,2.5400,99.7840,74,5.0034,-0.1526,-0.0130,0.6377,36.4865,0.1396,2.0776,100.0000,249,16.8357,-0.2001,-0.0720,0.6199,34.9398,0.1281,2.2896,99.1968,217,14.6721,-0.1742,-0.0334,0.6478,33.1797,0.1407,2.2043,98.1567,476,32.1839,-0.2109,-0.0557,0.5838,31.7227,0.1552,1.9805,99.7899,310,-0.2052,-0.0668,0.6077,34.8387,1,275,47.0085
4h_n5,3,fractal,-,0,2,3,1576,-0.2145,0.6587,30.9645,-81.8429,-81.6780,6473.8340,27.2351,-3.087,0.1788,1.6880,0.8029,2.5381,98.6041,2468,38.4030,2.4962,0,0.0000,,,,,,,,499,31.6624,-0.1825,-0.0287,0.6740,31.2625,0.1538,1.8961,98.7976,80,5.0761,-0.2044,-0.0185,0.6337,33.7500,0.1859,1.5484,98.7500,256,16.2437,-0.2010,-0.0314,0.6663,32.4219,0.1697,1.7139,98.4375,233,14.7843,-0.2233,-0.0363,0.6300,30.9013,0.1870,1.6443,96.9957,508,32.2335,-0.2502,-0.0470,0.5862,29.5276,0.2031,1.5125,99.2126,329,-0.2111,-0.0270,0.6507,33.1307,1,256,43.7607
4h_n5,3,fractal,-,0,2,4,1419,-0.1666,0.6703,31.9944,-69.8770,-69.8219,5115.4560,32.4587,-2.534,0.1343,2.2622,0.7229,0.4933,99.4362,2880,38.4030,2.4962,0,0.0000,,,,,,,,453,31.9239,-0.1184,-0.0033,0.7330,32.4503,0.1151,2.5422,99.7792,71,5.0035,-0.1180,0.0196,0.7269,35.2113,0.1376,2.1081,100.0000,238,16.7724,-0.2357,-0.1083,0.5765,31.9328,0.1275,2.3092,99.1597,199,14.0240,-0.1657,-0.0247,0.6756,32.6633,0.1410,2.2304,97.9899,458,32.2763,-0.1864,-0.0330,0.6402,30.7860,0.1535,1.9984,99.7817,303,-0.1943,-0.0563,0.6371,33.9934,1,282,48.2051
4h_n5,3,fractal,-,0,3,3,1495,-0.2039,0.6741,28.9632,-78.5887,-78.5335,6242.9187,30.0548,-2.531,0.1783,1.6993,0.7616,2.4749,98.6622,2693,38.4030,2.4962,0,0.0000,,,,,,,,482,32.2408,-0.1681,-0.0145,0.7065,29.2531,0.1536,1.9033,98.9627,77,5.1505,-0.2129,-0.0294,0.6370,31.1688,0.1835,1.5691,98.7013,244,16.3211,-0.2428,-0.0718,0.6227,29.5082,0.1710,1.7119,98.7705,209,13.9799,-0.2463,-0.0583,0.6143,27.7512,0.1881,1.6587,96.6507,483,32.3077,-0.2002,0.0014,0.6775,28.5714,0.2016,1.5276,99.1718,319,-0.1847,-0.0001,0.7032,31.6614,1,266,45.4701
4h_n5,3,fractal,-,0,3,4,1356,-0.1541,0.6990,31.0472,-65.5684,-65.5054,5157.2278,34.6934,-2.093,0.1345,2.2660,0.6908,0.5162,99.5575,3060,38.4030,2.4962,0,0.0000,,,,,,,,427,31.4897,-0.0816,0.0319,0.8180,32.5527,0.1134,2.5799,99.7658,69,5.0885,-0.1545,-0.0159,0.6685,33.3333,0.1386,2.1058,100.0000,231,17.0354,-0.2471,-0.1194,0.5615,30.7359,0.1277,2.3138,99.5671,187,13.7906,-0.1424,-0.0003,0.7245,31.5508,0.1421,2.2200,98.3957,442,32.5959,-0.1804,-0.0258,0.6606,29.1855,0.1546,1.9823,99.7738,295,-0.1764,-0.0381,0.6701,33.2203,1,290,49.5726
4h_n5,3,fractal,-,0.1,1.5,3,1772,-0.2018,0.6798,33.6907,-83.4362,-83.3852,7183.5723,27.8190,-3.376,0.1751,1.7196,0.9027,2.4831,98.7585,3018,38.4030,2.4962,0,0.0000,,,,,,,,562,31.7156,-0.1685,-0.0170,0.6846,34.6975,0.1515,1.9238,98.9324,82,4.6275,-0.1167,0.0671,0.7807,39.0244,0.1839,1.5843,98.7805,283,15.9707,-0.2250,-0.0583,0.6175,34.6290,0.1666,1.7373,98.5866,258,14.5598,-0.2424,-0.0619,0.5927,31.3953,0.1805,1.6629,97.6744,587,33.1264,-0.2167,-0.0185,0.6264,32.5383,0.1982,1.5594,99.1482,345,-0.2275,-0.0462,0.6239,34.2029,1,327,48.6607
