n_5m,n_1h,atr_mult,buffer,r_target,min_stop_atr,trades,expectancy_r,profit_factor,win_rate_pct,max_drawdown_pct,net_return_pct,fees_paid,exposure_pct,sharpe_annualized,avg_cost_r,avg_stop_pct,trades_per_day,capped_share_pct,skipped_min_stop,ignored_in_position,pct_time_neutral_1h,h1_state_changes_per_week
2,5,1.5,0,3,0.5,1933,-0.4335,0.4515,25.2975,-95.2269,-95.2087,8236.8983,13.5192,-5.805,0.4566,0.7508,1.4458,41.1278,0,1545,38.8550,9.3089
2,5,1.5,0.1,1.5,0,2040,-0.4204,0.4160,33.3333,-95.9934,-95.9868,8154.1025,11.6414,-7.566,0.4298,0.8065,1.5258,37.4510,0,1147,38.8550,9.3089
2,5,1.5,0.1,1.5,0.5,2040,-0.4204,0.4160,33.3333,-95.9934,-95.9868,8154.1025,11.6414,-7.566,0.4298,0.8065,1.5258,37.4510,0,1147,38.8550,9.3089
2,5,1.5,0.1,2,0,1945,-0.4128,0.4562,29.3573,-95.0566,-95.0510,8313.3090,12.4432,-6.451,0.4359,0.7896,1.4547,38.2005,0,1279,38.8550,9.3089
2,5,1.5,0.1,2,0.5,1945,-0.4128,0.4562,29.3573,-95.0566,-95.0510,8313.3090,12.4432,-6.451,0.4359,0.7896,1.4547,38.2005,0,1279,38.8550,9.3089
2,5,1.5,0.1,3,0,1841,-0.4340,0.4503,25.0407,-94.9268,-94.9211,7919.2971,13.8726,-5.766,0.4437,0.7681,1.3770,39.2721,0,1444,38.8550,9.3089
2,5,1.5,0.1,3,0.5,1841,-0.4340,0.4503,25.0407,-94.9268,-94.9211,7919.2971,13.8726,-5.766,0.4437,0.7681,1.3770,39.2721,0,1444,38.8550,9.3089
2,5,2,0,1.5,0,1678,-0.3345,0.5214,33.5518,-88.6138,-88.4492,9028.6450,10.8057,-5.686,0.3708,0.9748,1.2550,27.5328,0,1122,37.8639,8.0314
2,5,2,0,1.5,0.5,1678,-0.3345,0.5214,33.5518,-88.6138,-88.4492,9028.6450,10.8057,-5.686,0.3708,0.9748,1.2550,27.5328,0,1122,37.8639,8.0314
2,5,2,0,2,0,1604,-0.3544,0.5340,29.0524,-88.9502,-88.7393,8812.3278,11.6832,-5.295,0.3756,0.9565,1.1997,28.1796,0,1231,37.8639,8.0314
2,5,2,0,2,0.5,1604,-0.3544,0.5340,29.0524,-88.9502,-88.7393,8812.3278,11.6832,-5.295,0.3756,0.9565,1.1997,28.1796,0,1231,37.8639,8.0314
2,5,2,0,3,0,1529,-0.3482,0.5675,26.7495,-87.2432,-86.9993,9039.6961,12.8509,-4.43,0.3810,0.9328,1.1436,28.7770,0,1354,37.8639,8.0314
2,5,2,0,3,0.5,1529,-0.3482,0.5675,26.7495,-87.2432,-86.9993,9039.6961,12.8509,-4.43,0.3810,0.9328,1.1436,28.7770,0,1354,37.8639,8.0314
2,5,2,0.1,1.5,0,1603,-0.3211,0.5260,34.3107,-86.7373,-86.6870,8630.1053,11.3298,-5.398,0.3590,1.0021,1.1990,26.2009,0,1046,37.8639,8.0314
