n_5m,n_1h,atr_mult,buffer,r_target,min_stop_atr,trades,expectancy_r,profit_factor,win_rate_pct,max_drawdown_pct,net_return_pct,fees_paid,exposure_pct,sharpe_annualized,avg_cost_r,avg_stop_pct,trades_per_day,capped_share_pct,skipped_min_stop,ignored_in_position,pct_time_neutral_1h,h1_state_changes_per_week
2,5,1.5,0.1,2,0,2730,-0.4226,0.4962,25.8242,-99.3447,-99.3296,6155.2133,12.9932,-7.288,0.3311,1.1088,1.3907,23.9194,0,1749,38.5412,9.7458
2,5,1.5,0.1,2,0.5,2730,-0.4226,0.4962,25.8242,-99.3447,-99.3296,6155.2133,12.9932,-7.288,0.3311,1.1088,1.3907,23.9194,0,1749,38.5412,9.7458
2,5,1.5,0.1,3,0,2614,-0.4378,0.5326,22.7621,-99.3448,-99.3197,6526.1998,14.1735,-6.485,0.3358,1.0880,1.3316,24.5601,0,1944,38.5412,9.7458
2,5,1.5,0.1,3,0.5,2614,-0.4378,0.5326,22.7621,-99.3448,-99.3197,6526.1998,14.1735,-6.485,0.3358,1.0880,1.3316,24.5601,0,1944,38.5412,9.7458
2,5,2,0,1.5,0,2293,-0.3550,0.4434,29.1321,-97.6357,-97.6012,5591.5343,11.0371,-6.708,0.2726,1.3846,1.1681,15.6127,0,1480,38.4432,8.3800
2,5,2,0,1.5,0.5,2293,-0.3550,0.4434,29.1321,-97.6357,-97.6012,5591.5343,11.0371,-6.708,0.2726,1.3846,1.1681,15.6127,0,1480,38.4432,8.3800
2,5,2,0,2,0,2207,-0.3651,0.4460,25.8722,-97.5911,-97.5545,5465.7859,11.7903,-6.198,0.2757,1.3725,1.1243,15.9493,0,1604,38.4432,8.3800
2,5,2,0,2,0.5,2207,-0.3651,0.4460,25.8722,-97.5911,-97.5545,5465.7859,11.7903,-6.198,0.2757,1.3725,1.1243,15.9493,0,1604,38.4432,8.3800
2,5,2,0,3,0,2133,-0.3602,0.4766,23.6756,-97.1391,-97.0813,5621.4764,12.3457,-5.333,0.2789,1.3526,1.0866,16.3150,0,1711,38.4432,8.3800
2,5,2,0,3,0.5,2133,-0.3602,0.4766,23.6756,-97.1391,-97.0813,5621.4764,12.3457,-5.333,0.2789,1.3526,1.0866,16.3150,0,1711,38.4432,8.3800
2,5,2,0.1,1.5,0,2165,-0.3457,0.4515,29.4688,-96.9033,-96.8555,5435.4516,11.1728,-6.313,0.2625,1.4244,1.1029,14.1801,0,1333,38.4432,8.3800
2,5,2,0.1,1.5,0.5,2165,-0.3457,0.4515,29.4688,-96.9033,-96.8555,5435.4516,11.1728,-6.313,0.2625,1.4244,1.1029,14.1801,0,1333,38.4432,8.3800
2,5,2,0.1,2,0,2085,-0.3539,0.4605,26.1391,-96.7899,-96.7343,5363.7255,11.9285,-5.813,0.2657,1.4080,1.0621,14.4844,0,1446,38.4432,8.3800
2,5,2,0.1,2,0.5,2085,-0.3539,0.4605,26.1391,-96.7899,-96.7343,5363.7255,11.9285,-5.813,0.2657,1.4080,1.0621,14.4844,0,1446,38.4432,8.3800
2,5,2,0.1,3,0,2003,-0.3548,0.4819,23.6645,-96.3687,-96.2777,5403.5206,12.5038,-5.122,0.2693,1.3841,1.0204,14.8777,0,1565,38.4432,8.3800
2,5,2,0.1,3,0.5,2003,-0.3548,0.4819,23.6645,-96.3687,-96.2777,5403.5206,12.5038,-5.122,0.2693,1.3841,1.0204,14.8777,0,1565,38.4432,8.3800
2,5,3,0,1.5,0,1326,-0.2145,0.5936,30.7692,-75.4135,-75.2294,5376.8825,11.1455,-3.416,0.1789,2.1001,0.6755,4.8265,0,1248,38.7729,5.0423
2,5,3,0,1.5,0.5,1326,-0.2145,0.5936,30.7692,-75.4135,-75.2294,5376.8825,11.1455,-3.416,0.1789,2.1001,0.6755,4.8265,0,1248,38.7729,5.0423
2,5,3,0,2,0,1268,-0.2262,0.5942,28.2334,-75.4951,-75.3463,5184.2243,11.5341,-3.204,0.1818,2.0562,0.6460,5.0473,0,1320,38.7729,5.0423
2,5,3,0,2,0.5,1268,-0.2262,0.5942,28.2334,-75.4951,-75.3463,5184.2243,11.5341,-3.204,0.1818,2.0562,0.6460,5.0473,0,1320,38.7729,5.0423
2,5,3,0,3,0,1211,-0.2165,0.6206,25.9290,-72.1794,-72.0104,5196.1028,11.9988,-2.603,0.1856,1.9748,0.6169,5.2023,0,1393,38.7729,5.0423
2,5,3,0,3,0.5,1211,-0.2165,0.6206,25.9290,-72.1794,-72.0104,5196.1028,11.9988,-2.603,0.1856,1.9748,0.6169,5.2023,0,1393,38.7729,5.0423
2,5,3,0.1,1.5,0,1256,-0.2128,0.5991,31.0510,-73.4624,-73.1741,5115.2420,11.2303,-3.282,0.1764,2.1336,0.6398,4.2994,0,1117,38.7729,5.0423
